88 :  Teamfight Tactics
67 :  League of Legends SR
59 :  League of Legends ARAM
32 :  Coup @ https://www.chickenkoup.com/
86 :  Uno @ http://play.unofreak.com/
667 :  Covidopoly @ https://www.covidopoly.io/
121 :  Skribblio @ https://skribbl.io/
29 :  Hanabi @ https://hanab.live/lobby
25 :  Love Letter @ https://netgames.io/games/love-letter/
33 :  Monopoly Deal @ https://playmdeal.com/
619 :  Spyfall @ https://netgames.io/games/spyfall/
319 :  One Night Ultimate Werewolf @ https://netgames.io/games/onu-werewolf/
34 :  Bang! @ http://chriscarr.name:8080/westerncardgame/
36 :  Good Cop Bad Cop @ https://gcbc.arantius.com/
635 :  Codenames @ https://codenames.game/
50 :  Avalon @ https://netgames.io/games/avalon/
42 :  Secret Hitler @ https://secrethitler.io/ OR https://netgames.io/games/secret-hitler/
9 :  League of Legends 3v3 Custom ARAM
10 :  League of Legends 4v4 Custom ARAM
22 :  Among Us
10 :  League of Legends 5v5 Custom SR
7 :  League of Legends 5v5 Custom ARAM
